Subj,Treatment,Dose,Time.Top,Time.Bottom,AbsoluteTurnAngle,Freezing.S,Speed
C2,CAS,1 mg/kg,29.505,279.73,15.6841543240177,0,11.6644553443449
C3,CAS,1 mg/kg,61.486,225.242,24.2872318186069,0,11.7534838732018
C4,CAS,1 mg/kg,0.322,359.473,27.7444220915968,125.942,9.62645026080677
C5,CAS,1 mg/kg,0.179,350.291,25.7443493530406,182.9,4.5187186632143
C6,CAS,1 mg/kg,27.351,263.461,25.9323961943705,185.386,10.7892671501168
C7,CAS,1 mg/kg,8.852,319.972,21.6002057756519,114.434,13.6400239236762
C8,CAS,1 mg/kg,106.539,158.305,24.1156677200339,0,9.85201511150765
C9,CAS,1 mg/kg,42.4235,275.1809,18.6895069699085,76.0689,10.3113409354901
C10,CAS,1 mg/kg,34.2124,287.7987,27.5704493111954,0,6.39904853129122
C11,CAS,1 mg/kg,55.5301,280.8588,18.1149526067858,75.4309,10.8632959571394
C12,CAS,1 mg/kg,12.2312,274.6351,23.398655838349,18.5959,11.0430697262805
C13,CAS,1 mg/kg,29.2098,279.8132,18.9938610454092,79.1074,4.80692487795986
C14,CAS,1 mg/kg,40.4322,306.1147,15.1350487202532,17.5889,11.7114806427059
D1,CTRL,0 mg/kg,0.27,159.041,15.4203872064984,0,7.29431722704391
D2,CTRL,0 mg/kg,135.743,147.261,27.2746539987466,0,11.3486317968657
D3,CTRL,0 mg/kg,0.872,255.484,16.208001053793,18.452,5.77989784635845
D4,CTRL,0 mg/kg,0.746,256.409,30.2745934867181,0,4.5388141778293
D5,CTRL,0 mg/kg,55.963,183.722,13.8982313057757,0,4.5677122411437
D6,CTRL,0 mg/kg,46.354,205.658,19.1201973613289,0,8.6990012571707
D7,CTRL,0 mg/kg,47.566,215.307,11.772952106725,0,12.3019034427783
D8,CTRL,0 mg/kg,0.271,350.465,15.7928973717022,36.007,6.19470593661602
D9,CTRL,0 mg/kg,67.337,187.482,18.5253674174066,0,7.80463339559825
D10,CTRL,0 mg/kg,32.077,263.629,18.8126008594681,0,10.5840533981982
D11,CTRL,0 mg/kg,32.683,226.8738,22.7191586621126,0,6.70744066052412
D12,CTRL,0 mg/kg,33.5878,215.2639,14.0888924621095,0,11.1489964245194
D13,CTRL,0 mg/kg,34.45811,217.2931,28.9376913382998,32.547,10.3900190819748
D14,CTRL,0 mg/kg,37.3681,227.1907,27.4913675977176,29.95,7.36121234337666
D15,CTRL,0 mg/kg,42.5286,226.1967,14.9550129221969,0,8.66889220631873
D16,CTRL,0 mg/kg,39.2596,208.7303,29.9268014628898,0,5.65454545988884
E1,CTRL,2 mg/kg,0.319,359.431,35.9790241759846,0,13.1019283384898
E2,CTRL,2 mg/kg,57.335,210.468,45.4396744006822,0,7.40697422732452
E3,CTRL,2 mg/kg,139.832,100.554,45.2710774872395,0,12.4312766767713
E4,CTRL,2 mg/kg,54.61,229.946,39.4804031029594,0,13.5540355340236
E5,CTRL,2 mg/kg,115.101,115.079,31.3030133108878,0,11.9559618088396
E6,CTRL,2 mg/kg,68.771,186.651,38.3051934114324,0,13.9819368585973
E7,CTRL,2 mg/kg,29.098,259.736,26.1036668232045,0,13.0578734070301
E8,CTRL,2 mg/kg,0.256,158.624,31.000721552138,193.176,9.6493569356886
E9,CTRL,2 mg/kg,1.078,258.682,29.0389130070752,0,1.00876146653205
E10,CTRL,2 mg/kg,12.192,94.164,23.0831411107159,0,13.5176675851375
E11,CTRL,2 mg/kg,51.6193,113.4105,45.5546644089995,23.3618,10.4496240711096
E12,CTRL,2 mg/kg,35.9708,132.7812,43.0688317293159,0,1.31575686623501
E13,CTRL,2 mg/kg,22.737,126.0481,22.2087581363144,21.0199,12.133931851114
E14,CTRL,2 mg/kg,45.3204,252.7016,44.5036294262344,17.3102,4.78318661270752
E15,CTRL,2 mg/kg,52.2911,162.7686,38.1674956734901,0,6.01772543495427
E16,CTRL,2 mg/kg,52.0587,245.7456,35.8152017686296,0,4.52784033523573
F1,CTRL,1 mg/kg,98.7067,214.6676,32.200693957735,0,12.9711446430069
F2,CTRL,1 mg/kg,45.3568,201.1961,37.1309194423129,6.7072,9.59350866235576
F3,CTRL,1 mg/kg,75.2464,248.3142,29.6942603255569,8.4732,6.44934010350589
F4,CTRL,1 mg/kg,37.7312,142.023,41.2301828874713,0,13.0831058891363
F5,CTRL,1 mg/kg,64.4502,206.9753,38.8523206049943,0,9.22644719604792
F6,CTRL,1 mg/kg,81.5798,278.4202,43.3620478931955,14.4228,7.22092719385664
F7,CTRL,1 mg/kg,3.913,321.535,45.5922922449564,0,2.06117256430627
F8,CTRL,1 mg/kg,81.294,180.345,25.4712990694819,0,11.6332823439712
F9,CTRL,1 mg/kg,0.175,328.315,39.554687059176,148.417,5.18438922235929
F10,CTRL,1 mg/kg,95.994,166.562,40.3536882648244,0,4.42426629759293
F11,CTRL,1 mg/kg,77.398,126.176,45.9472979191551,0,3.55915270569719
F12,CTRL,1 mg/kg,0.336,354.032,40.9968171682179,0,4.28366507432596
F13,CTRL,1 mg/kg,131.293,128.123,20.4639114070326,0,10.101665227155
F14,CTRL,1 mg/kg,24.024,237.303,21.8721623852964,0,2.88049429478584
F15,CTRL,1 mg/kg,313.596,15.387,26.9592863748633,0,4.21346582653367
